course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
Achieving Personal and Professional Success,University of Pennsylvania,Specialization,3 - 6 Months,4.7,3k,Beginner,https://www.coursera.org/specializations/wharton-success,44615.0,"['goal setting', 'Communication', 'Negotiation', 'Deception', 'Happiness', 'Personality Development', 'Personal Development']"
Addiction Treatment Clinical Skills for Healthcare Providers,Yale University,Course,1 - 3 Months,4.8,1.7k,Beginner,https://www.coursera.org/learn/addiction-treatment,55217.0,"['Substance Use Disorder Treatment', 'Substance Use Disorder Prevention', 'Substance Use Disorder Screening', 'Substance Use Disorder', 'Substance Use Disorder Diagnosis']"
Advanced Business Analytics,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,5k,Intermediate,https://www.coursera.org/specializations/data-analytics-business,56365.0,"['Data Analysis', 'Data Visualization (DataViz)', 'Mathematical Optimization', 'SQL']"
Advanced Data Science with IBM,IBM,Specialization,3 - 6 Months,4.3,3k,Advanced,https://www.coursera.org/specializations/advanced-data-science-ibm,43623.0,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark']"
Advanced Embedded Linux Development,University of Colorado Boulder,Specialization,1 - 3 Months,4.0,49,Intermediate,https://www.coursera.org/specializations/advanced-embedded-linux-development,3201.0,"['Linux', 'Kernel Programming', 'Embedded Systems', 'C Programming', 'Embedded Software']"
Advanced Learning Algorithms,DeepLearning.AI,Course,1 - 4 Weeks,4.9,3.9k,Beginner,https://www.coursera.org/learn/advanced-learning-algorithms,173009.0,"['Artificial Neural Network', 'Xgboost', 'Tensorflow', 'Tree Ensembles', 'Advice for Model Development']"
Agile Development,University of Virginia,Specialization,3 - 6 Months,4.7,4.5k,Beginner,https://www.coursera.org/specializations/agile-development,33927.0,"['hypothesis-driven development', 'Design Thinking', 'User Experience (UX)', 'agile', 'Lean Startup']"
Agile Leadership,University of Colorado System,Specialization,3 - 6 Months,4.8,2.1k,Beginner,https://www.coursera.org/specializations/agile-leadership-change-management,18224.0,"['Agile Leadership', 'Agile Management', 'Scrum (Software Development)', 'Change Management', 'Project Management']"
Agile Project Management,Google,Course,1 - 4 Weeks,4.8,10.2k,Beginner,https://www.coursera.org/learn/agile-project-management,364660.0,"['Coaching', 'Influencing', 'Agile Management', 'Problem Solving', 'Scrum']"
Agile with Atlassian Jira,Atlassian,Course,1 - 4 Weeks,4.7,8.3k,Beginner,https://www.coursera.org/learn/agile-atlassian-jira,282500.0,"['Project Management', 'Agile Management', 'work management', 'Scrum (Software Development)']"
Akamai Customer Consulting and Support,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,47565.0,"['Debugging techniques', 'Basics of Databases (SQLNoSQL)', 'LinuxUnix System Administration', 'Computer Network', 'Troubleshooting']"
Akamai Network Engineering,"Akamai Technologies, Inc.",Professional Certificate,3 - 6 Months,4.9,26,Beginner,https://www.coursera.org/professional-certificates/akamai-network-engineering,2214.0,"['Troubleshooting Skills', 'Debugging techniques', 'Basics of Databases (SQLNoSQL)', 'LinuxUnix System Administration', 'Computer Network']"
Algorithms for Battery Management Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,2.4k,Intermediate,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,21805.0,"['Design equivalent-circuit models for lithium-ion battery cells', 'Implement state-of-charge estimators for lithium-ion battery cells', 'Understand how lithium-ion battery cells work and basic requirements of battery-management systems', 'Implement state-of-health estimators for lithium-ion battery cells', 'Understand balancing requirements and implement power estimators for lithium-ion battery packs']"
An Introduction to American Law,University of Pennsylvania,Course,1 - 3 Months,4.8,4.7k,Beginner,https://www.coursera.org/learn/american-law,182239.0,"['American Law', 'Common Law', 'Law', 'Constitution']"
