course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
"Decisions, Decisions Dashboards and Reports",Google,Course,1 - 3 Months,4.6,6k,Advanced,https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,179076.0,"['Presenting Data Insights', 'Tableau Software', 'Data Visualization (DataViz)', 'Effective Communication', 'Dashboarding and Reporting']"
Deep Learning,DeepLearning.AI,Specialization,3 - 6 Months,4.6,18.5k,Intermediate,https://www.coursera.org/specializations/deep-learning,383947.0,"['Artificial Neural Network', 'Convolutional Neural Network', 'Tensorflow', 'Recurrent Neural Network', 'Transformers']"
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,Professional Certificate,3 - 6 Months,4.8,335,Intermediate,https://www.coursera.org/professional-certificates/tensorflow-in-practice,15467.0,"['Computer Vision', 'Convolutional Neural Network', 'Machine Learning', 'Natural Language Processing']"
Deploying Machine Learning Models in Production,DeepLearning.AI,Course,1 - 4 Weeks,4.8,141.3k,Advanced,https://www.coursera.org/learn/deploying-machine-learning-models-in-production,808743.0,"['TensorFlow Serving', 'Model Monitoring', 'Model Registries', 'Machine Learning Operations (MLOps)', 'Generate Data Protection Regulation (GDPR)']"
Desarrollador front-end de Meta,Meta,Professional Certificate,3 - 6 Months,4.4,1.5k,Beginner,https://www.coursera.org/professional-certificates/meta-front-end-developer-es,54602.0,"['Web Development Tools', 'HTML', 'Cascading Style Sheets (CSS)', 'UIUX design', 'React', 'Object-Oriented Programming (OOP)', 'JavaScript', 'Test-Driven Development', 'Responsive Web Design']"
Design Thinking,University of Virginia,Specialization,3 - 6 Months,4.7,24.2k,Beginner,https://www.coursera.org/specializations/uva-darden-design-thinking,188692.0,"['Creativity', 'Strategic Thinking', 'Design Thinking', 'Innovation Management', 'Innovation']"
Design a User Experience for Social Good Prepare for Jobs,Google,Course,1 - 3 Months,4.5,285,Beginner,https://www.coursera.org/learn/ux-design-jobs,27902.0,"['User Experience (UX)', 'Usability Testing', 'Prototype', 'User Experience Design (UXD)', 'UX design jobs']"
Design and Interpretation of Clinical Trials,Johns Hopkins University,Course,1 - 3 Months,4.6,66,Mixed,https://www.coursera.org/learn/clinical-trials,47565.0,"['Clinical Research', 'Trial Design', 'Clinical Trial Design', 'Clinical Trial Management']"
DevOps on AWS,Amazon Web Services,Specialization,1 - 3 Months,4.6,69,Intermediate,https://www.coursera.org/specializations/aws-devops,3201.0,"['Continuous Integration', 'Devops', 'Monitoring and Logging', 'Continuous Delivery', 'Microservices']"
"DevOps, Cloud, and Agile Foundations",IBM,Specialization,3 - 6 Months,4.9,2.8k,Beginner,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,130698.0,"['Cloud Native', 'Devops', 'Scrum', 'Cloud Computing', 'agile']"
Developing AI Applications with Python and Flask,IBM,Course,1 - 4 Weeks,4.7,4.2k,Intermediate,https://www.coursera.org/learn/python-project-for-ai-application-development,138690.0,"['Artificial Intelligence (AI)', 'Web Application', 'Python Programming', 'Application development', 'Flask']"
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,Specialization,3 - 6 Months,4.8,4.5k,Intermediate,https://www.coursera.org/specializations/apigee-api-gcp,28860.0,"['Oauth', 'API security', 'REST API design', 'OpenAPI specifications', 'Apigee API Platform']"
Developing Applications with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.7,7.5k,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,12137.0,"['Debugging', 'Google Cloud Platform', 'Cloud Storage', 'Application development', 'Cloud Computing']"
Developing Front-End Apps with React,IBM,Course,1 - 4 Weeks,4.4,490,Intermediate,https://www.coursera.org/learn/developing-frontend-apps-with-react,44985.0,"['Web Development', 'User Interface', 'React (Web Framework)', 'Front-end Development', 'JavaScript']"
Devenir entrepreneur du changement,HEC Paris,Course,1 - 3 Months,4.7,2.8k,Mixed,https://www.coursera.org/learn/entrepreneur-changement,13389.0,"['Social Entrepreneurship', 'Business Model', 'Communication', 'Entrepreneurship', 'Social Business Model']"
Digital Fashion Innovation,"Parsons School of Design, The New School",Specialization,1 - 3 Months,4.7,48.2k,Intermediate,https://www.coursera.org/specializations/digitalfashioninnovation,77875.0,"['Digital Transformation in Fashion', 'Digital Fashion Design', 'Digitalization in Fashion', 'Fashion Merchandising', 'Fashion E-Commerce']"
Digital Manufacturing Design Technology,University at Buffalo,Specialization,3 - 6 Months,4.7,595,Beginner,https://www.coursera.org/specializations/digital-manufacturing-design-technology,79172.0,"['Artificial Intelligence (AI)', 'Digital Design', 'Manufacturing Engineer', 'Industry 4.0']"
Digital Marketing,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.6,117,Beginner,https://www.coursera.org/specializations/digital-marketing,3680.0,"['Digital Marketing', 'Social Media', 'Content Marketing', 'search marketing', 'Brand Communication', 'Marketing Channel', 'Mobile Marketing', 'Integrated Marketing Communications', 'Data Collection', 'Analytics', 'Data Analysis', 'Data Visualization (DataViz)', 'Marketing', 'Pricing Strategies', 'Marketing Mix', 'Product Strategies', 'Marketing Analytics', 'Marketing Plan', 'Search Advertising', 'Marketing Performance Measurement And Management', 'Marketing Performance']"
Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,1 - 3 Months,4.5,206,Beginner,https://www.coursera.org/specializations/digital-marketing-strategy-planning,6933.0,"['Search Engine Marketing (SEM) Strategy', 'Display and Video Advertising Strategy', 'Social Media and Email Marketing Strategy', 'E-Commerce Strategy', 'Digital Channel Planning', 'Strategic Thinking', 'Strategy Execution', 'Digital Leadership', 'Communicating Results', 'Customer Experience (CX) Design', 'Digital transformation', 'Digital Marketing', 'Content Marketing', 'Digital Strategy', 'Digital Research']"
Digital Product Management,University of Virginia,Specialization,3 - 6 Months,4.6,6.5k,Beginner,https://www.coursera.org/specializations/uva-darden-digital-product-management,33032.0,"['hypothesis-driven development', 'Product Management', 'Design Thinking', 'agile', 'Lean Startup']"
Digital Product Management Modern Fundamentals,University of Virginia,Course,1 - 4 Weeks,4.7,22.3k,Beginner,https://www.coursera.org/learn/uva-darden-digital-product-management,44260.0,"['ProductMarket Fit', 'Product Management', 'Design Thinking', 'Innovation Pipeline', 'Lean Startup']"
Digital Signal Processing,Ecole Polytechnique Federale de Lausanne,Specialization,3 - 6 Months,4.6,341,Intermediate,https://www.coursera.org/specializations/digital-signal-processing,15919.0,"['Convulsion', 'Data Transmission', 'Audio processing', 'Ipython', 'Fourier Analysis']"
Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,1 - 3 Months,4.7,9.1k,Beginner,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing,55794.0,"['Manufacturing Process Management', 'Bussiness', 'Industrial Internet of Things (IIoT)', 'technology']"
Digital Transformation Using AIML with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.7,5k,Beginner,https://www.coursera.org/specializations/digital-transformation-using-ai-ml-with-google-cloud,179980.0,"['Organizational Culture', 'Business Transformation', 'Business Value', 'Business Strategy', 'Business Case Analysis']"
Dino 101 Dinosaur Paleobiology,University of Alberta,Course,1 - 3 Months,4.6,194,Beginner,https://www.coursera.org/learn/dino101,5172.0,"['Biodiversity', 'Biology', 'Evolution', 'Paleontology']"
Diseno Instruccional Aprendizaje activo y Pedagogia digital,Tecnologico de Monterrey,Specialization,3 - 6 Months,4.7,6.2k,Beginner,https://www.coursera.org/specializations/diseno-instruccional,7144.0,"['Analisis', 'Pensamiento critico', 'Comunicacion efectiva']"
Diseno de Experiencia del Usuario (UX) de Google,Google,Professional Certificate,3 - 6 Months,4.6,379,Beginner,https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google,6420.0,"['Experiencia del usuario (UX)', 'Diseno de la experiencia del usuario (UXD)', 'Investigacion en UX', 'Pruebas de usabilidad', 'Prototipo', 'Adobe XD', 'Esquema', 'Maqueta', 'Figma', 'Trabajos de diseno de UX', 'Esquema de pagina']"
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,Course,1 - 4 Weeks,4.8,3.1k,Intermediate,https://www.coursera.org/learn/algorithms-divide-conquer,46980.0,"['Algorithms', 'Randomized Algorithm', 'Sorting Algorithm', 'Divide And Conquer Algorithms']"
Django for Everybody,University of Michigan,Specialization,3 - 6 Months,4.7,904,Intermediate,https://www.coursera.org/specializations/django,50277.0,"['Cascading Style Sheets (CSS)', 'HTML', 'JavaScript', 'SQL', 'Django (Web Framework)']"
Dog Emotion and Cognition,Duke University,Course,1 - 3 Months,4.9,8,Mixed,https://www.coursera.org/learn/dog-emotion-and-cognition,47565.0,"['Cognitive Science', 'Evolution', 'Animal Behavior', 'Dog']"
Drug Development Product Management,University of California San Diego,Specialization,3 - 6 Months,4.7,2.3k,Beginner,https://www.coursera.org/specializations/drug-development-product-management,70023.0,"['Marketing', 'Drug Regulations', 'Drug Discovery', 'Clinical Trials']"
Drug Discovery,University of California San Diego,Course,1 - 3 Months,4.7,4.5k,Beginner,https://www.coursera.org/learn/drug-discovery,206064.0,"['Pharmacology', 'Drug Development', 'Clinical Development', 'Pharmacokinetics']"
Dynamic Public Speaking,University of Washington,Specialization,3 - 6 Months,4.8,1.2k,Beginner,https://www.coursera.org/specializations/public-speaking,41963.0,"['Communication', 'Presentation', 'Speech', 'Public Speaking']"
"Effective Communication Writing, Design, and Presentation",University of Colorado Boulder,Specialization,3 - 6 Months,4.7,2.4k,Beginner,https://www.coursera.org/specializations/effective-business-communication,71730.0,"['Business Writing', 'Presentation', 'Graphic Design', 'Writing']"
Electronic Music Production,Berklee,Specialization,3 - 6 Months,4.6,514,Intermediate,https://www.coursera.org/specializations/electronic-music-production,18607.0,"['Audio Recording', 'Music Making', 'File Management', 'Ableton', 'MIDI programming', 'Create an electronic composition', 'Create custom synthesizer patches', 'Manipulate preset patches', 'Sound Design', 'Create custom patches in Strobe 2', 'Audio Production', 'Music', 'Audio Editing', 'Electronic Digital Instrument', 'Live Looping', 'Performance Technique', 'Music Arrangement']"
Embedding Sensors and Motors,University of Colorado Boulder,Specialization,3 - 6 Months,4.9,1.5k,Intermediate,https://www.coursera.org/specializations/embedding-sensors-motors,157815.0,"['sensor integration', 'firmware', 'motor design', 'embedded engineering', 'hardware']"
Emotional Intelligence Cultivating Immensely Human Interactions,University of Michigan,Course,1 - 4 Weeks,4.8,10.9k,Intermediate,https://www.coursera.org/learn/emotional-intelligence-cultivating-immensely-human-interactions,96049.0,"['Emotional Intelligence', 'Social Skills', 'Intrapersonal skills', 'Soft skills', 'Leadership']"
Engineering Project Management,Rice University,Specialization,3 - 6 Months,4.8,2.2k,Beginner,https://www.coursera.org/specializations/engineering-project-management,15969.0,"['Planning', 'Schedule', 'Earned Value Management (EVMT)', 'Project Management', 'Procurement']"
English for Business and Entrepreneurship,University of Pennsylvania,Course,1 - 3 Months,4.6,2.6k,Beginner,https://www.coursera.org/learn/business,27517.0,"['Business Plan', 'Market Research', 'English Language', 'Entrepreneurship']"
English for Career Development,University of Pennsylvania,Course,1 - 3 Months,4.7,232,Mixed,https://www.coursera.org/learn/careerdevelopment,41808.0,"['Communication', 'English Language', 'Career Development', 'Writing']"
English for Journalism,University of Pennsylvania,Course,1 - 3 Months,4.7,10.3k,Mixed,https://www.coursera.org/learn/journalism,50619.0,"['English Grammar', 'News Reporting', 'English Language', 'Broadcast']"
Entrepreneurial Finance Strategy and Innovation,Duke University,Specialization,3 - 6 Months,4.7,4.2k,Intermediate,https://www.coursera.org/specializations/entrepreneurial-finance,55842.0,"['Blockchains', 'Valuation', 'Financial Analysis', 'Entrepreneurial Finance', 'Microsoft Excel', 'Risk Management', 'Entrepreneurship', 'Venture Capital', 'Finance']"
Entrepreneurship,University of Pennsylvania,Specialization,3 - 6 Months,4.8,4.6k,Beginner,https://www.coursera.org/specializations/wharton-entrepreneurship,461650.0,"['Growth Strategies', 'Exit Strategy', 'Finance', 'Entrepreneurship']"
Entrepreneurship 1 Developing the Opportunity,University of Pennsylvania,Course,1 - 3 Months,4.8,14.6k,Mixed,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,2248113.0,"['Discovery-Driven Planning', 'Elevator Pitch', 'Planning', 'Entrepreneurship']"
Entrepreneurship Growing Your Business,University of Virginia,Specialization,3 - 6 Months,4.5,1.3k,Beginner,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,25965.0,"['Entrepreneurship', 'Leadership Management', 'Innovation', 'Finance', 'HR Tech']"
Epidemiology in Public Health Practice,Johns Hopkins University,Specialization,3 - 6 Months,4.8,5.3k,Beginner,https://www.coursera.org/specializations/professional-epidemiology,59402.0,"['Outbreak investigation', 'Public Health Surveillance', 'visualization', 'Statistics', 'Epidemiology']"
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,Course,1 - 3 Months,4.8,873,Intermediate,https://www.coursera.org/learn/clinicalsimulations,46526.0,"['Nursing', 'healthcare', 'Debriefing', 'INACSL Standards', 'Clinical Simulation']"
Ethical Leadership,The University of Notre Dame,Specialization,3 - 6 Months,4.7,4.2k,Beginner,https://www.coursera.org/specializations/ethical-leadership,40370.0,"['Ethics of Communication', 'Ethics of Technology', 'Ethical Leadership', 'Diverse Leadership', 'Why Business']"
European Business Law,Lund University,Specialization,3 - 6 Months,4.8,967,Beginner,https://www.coursera.org/specializations/european-business-law,18683.0,"['Compete on the Internal Market', 'Legal Research', 'Law', 'Business Law', 'Foreign Policy']"
Everyday Excel,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,50,Beginner,https://www.coursera.org/specializations/everyday-excel,1586.0,"['Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Project', 'computing']"
"Everyday Excel, Part 1",University of Colorado Boulder,Course,1 - 3 Months,4.7,701,Beginner,https://www.coursera.org/learn/everyday-excel-part-1,26909.0,"['Data Management', 'Spreadsheet', 'Microsoft Excel', 'Problem Solving', 'Real World']"
Exam Prep MLS-C01 AWS Certified Specialty Machine Learning,Whizlabs,Specialization,1 - 3 Months,4.5,170,Beginner,https://www.coursera.org/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty,10246.0,"['Modeling in AWS', 'Information Engineering', 'Machine Learning Implementation and Operations in AWS', 'Exploratory Data Analysis in AWS', 'ML Algorithms']"
Excel Basics for Data Analysis,IBM,Course,1 - 3 Months,4.7,3.6k,Beginner,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,57089.0,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Data Analysis', 'Pivot Table']"
Excel Fundamentals for Data Analysis,Macquarie University,Course,1 - 3 Months,4.7,3.2k,Intermediate,https://www.coursera.org/learn/excel-data-analysis-fundamentals,236143.0,"['Data Analysis', 'Microsoft Excel', 'Data Cleansing']"
Excel Skills for Business,Macquarie University,Specialization,3 - 6 Months,4.9,2.8k,Beginner,https://www.coursera.org/specializations/excel,203729.0,"['Data Validation', 'Microsoft Excel', 'Microsoft Excel Macro', 'Pivot Table']"
Excel Skills for Business Essentials,Macquarie University,Course,1 - 3 Months,2.8,6,Beginner,https://www.coursera.org/learn/excel-essentials,47565.0,"['Graphs', 'Spreadsheet', 'Microsoft Excel', 'Chart']"
Excel Skills for Business Intermediate I,Macquarie University,Course,1 - 3 Months,4.8,6.6k,Intermediate,https://www.coursera.org/learn/excel-intermediate-1,246896.0,"['Concatenation', 'Microsoft Excel', 'Consolization', 'Pivot Table', 'Pivot Chart']"
Excel Skills for Data Analytics and Visualization,Macquarie University,Specialization,3 - 6 Months,4.8,3.5k,Intermediate,https://www.coursera.org/specializations/excel-data-analytics-visualization,145303.0,"['Data Analysis', 'Microsoft Excel', 'Data Visualization (DataViz)']"
Excel to MySQL Analytic Techniques for Business,Duke University,Specialization,3 - 6 Months,4.9,16.5k,Beginner,https://www.coursera.org/specializations/excel-mysql,320976.0,"['Business Analytics', 'Microsoft Excel', 'Business Analysis', 'Business Communication', 'Data Analysis', 'Big Data', 'Tableau Software', 'Data Visualization (DataViz)', 'Binary Classification', 'MySQL', 'SQL']"
ExcelVBA for Creative Problem Solving,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,4.7k,Beginner,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,72468.0,"['Microsoft Excel Vba', 'Computer Programming', 'Problem Solving', 'Arrays']"
Executive Data Science,Johns Hopkins University,Specialization,1 - 3 Months,4.6,55,Beginner,https://www.coursera.org/specializations/executive-data-science,4486.0,"['Data Science', 'Data Management', 'Data Analysis', 'Communication', 'Leadership']"
Exploratory Data Analysis for Machine Learning,IBM,Course,1 - 3 Months,4.6,52,Intermediate,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,8117.0,"['Artificial Intelligence (AI)', 'Machine Learning', 'Feature Engineering', 'Statistical Hypothesis Testing', 'Exploratory Data Analysis']"
Expressway to Data Science Essential Math,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,15.1k,Intermediate,https://www.coursera.org/specializations/expressway-to-data-science-essential-math,214073.0,"['Derrivatives', 'Integrals', 'Matrix Algebra', 'Diagonalization', 'Numerical Analysis']"
Expressway to Data Science Python Programming,University of Colorado Boulder,Specialization,1 - 3 Months,4.8,4.5k,Beginner,https://www.coursera.org/specializations/python-programming-data-science,64800.0,"['Python Libraries', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy']"
Extended Reality for Everybody,University of Michigan,Specialization,1 - 3 Months,4.6,1.4k,Beginner,https://www.coursera.org/specializations/extended-reality-for-everybody,75014.0,"['Virtual reality (VR)', 'Design', 'development', 'Extended Reality (XR)', 'Augmented reality (AR)']"
"Extract, Transform and Load Data in Power BI",Microsoft,Course,1 - 4 Weeks,4.5,300,Beginner,https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi,6334.0,"['Data Analysis', 'power bi', 'Power Query', 'Data Configuration', 'Data transformation']"
FPGA Design for Embedded Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,416,Intermediate,https://www.coursera.org/specializations/fpga-design,12049.0,"['Softcore Processor Design', 'Writing Code in Verilog', 'Programmable Logic Design', 'VHDL Coding', 'Simulation for Verification']"
Finance Quantitative Modeling for Analysts,University of Pennsylvania,Specialization,3 - 6 Months,4.9,597,Beginner,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,29968.0,"['Financial Modeling', 'Corporate Finance', 'Microsoft Excel']"
Finance for Non-Finance Professionals,Rice University,Course,1 - 3 Months,4.6,2.3k,Beginner,https://www.coursera.org/learn/finance-for-non-finance,49957.0,"['Financial Accounting', 'Capital Budgeting', 'Corporate Finance', 'Finance']"
Finance for Non-Financial Managers,Emory University,Course,1 - 3 Months,4.5,15.6k,Intermediate,https://www.coursera.org/learn/finance-for-non-financial-managers,33173.0,"['Project', 'Financial Statement', 'Finance', 'Balance Sheet']"
Finance for Technical Managers,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,2.6k,Beginner,https://www.coursera.org/specializations/finance-for-technical-managers,165806.0,"['Product Cost Analysis', 'Project valuation', 'financial statement analysis', 'Discounted Cash Flow Analysis', 'Financial Adviser']"
Financial Accounting Fundamentals,University of Virginia,Course,1 - 3 Months,4.4,384,Beginner,https://www.coursera.org/learn/uva-darden-financial-accounting,26520.0,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
Financial Analysis - Skills for Success,University of Illinois at Urbana-Champaign,Specialization,1 - 3 Months,4.8,2.5k,Beginner,https://www.coursera.org/specializations/financial-analysis-skills-for-success,140351.0,"['Accounting', 'Scenario Analysis', 'financial statement analysis', 'Strategic Management', 'Finance']"
Financial Engineering and Risk Management,Columbia University,Specialization,3 - 6 Months,4.5,884,Intermediate,https://www.coursera.org/specializations/financialengineering,33709.0,"['Quantitative Analysis', 'Asset Allocation', 'Algorithmic Trading', 'Portfolio Optimization', 'Mathematical Finance']"
Financial Management,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,152,Intermediate,https://www.coursera.org/specializations/financial-management,7075.0,"['Financial Mismanagement', 'Financial Management', 'Risk Management', 'Investment', 'Financial Aid Management']"
Financial Markets,Yale University,Course,1 - 3 Months,4.5,202,Beginner,https://www.coursera.org/learn/financial-markets-global,17578.0,"['Behavioral Finance', 'Financial Markets', 'Finance', 'Behavioral Economics']"
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.7,6.4k,Beginner,https://www.coursera.org/learn/financial-planning,72898.0,"['Risk Management', 'Budget', 'Saving', 'Investment']"
Financial Reporting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.8,26k,Intermediate,https://www.coursera.org/specializations/financial-reporting,1713399.0,"['Accounting', 'Accounting Analysis', 'Financial Statement']"
Financial Technology (Fintech) Innovations,University of Michigan,Specialization,3 - 6 Months,4.6,1.3k,Beginner,https://www.coursera.org/specializations/financialtechnology,136571.0,"['Credit Technology', 'Cryptocurrency', 'Smart Investing', 'Blockchain', 'Payment Systems']"
Financing and Investing in Infrastructure,Universita Bocconi,Course,1 - 3 Months,4.7,787,Mixed,https://www.coursera.org/learn/infrastructure-investing,17743.0,"['Capital Budgeting', 'Risk Analysis', 'Project', 'Finance']"
Finanzas corporativas,Universidad Nacional Autonoma de Mexico,Specialization,3 - 6 Months,4.7,2.4k,Intermediate,https://www.coursera.org/specializations/finanzascorporativas,29088.0,"['Mathematical Finance', 'Corporate Finance', 'Microsoft Excel', 'Finance']"
Finding Purpose and Meaning In Life Living for What Matters Most,University of Michigan,Course,1 - 4 Weeks,4.8,1.9k,Beginner,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,52576.0,"['well-being', 'Purpose']"
Finding Your Professional Voice Confidence Impact,University of London,Course,1 - 4 Weeks,4.8,2.2k,Beginner,https://www.coursera.org/learn/finding-your-professional-voice,213625.0,"['Speak with greater clarity', 'Speak with confidence and connection', 'How to convey meaning and make messages compelling', 'Identify current vocal behaviors connected to speaking and have techniques to address them.']"
Fintech Foundations Applications of Financial Technology,University of Pennsylvania,Specialization,3 - 6 Months,4.8,219,Beginner,https://www.coursera.org/specializations/wharton-fintech,38838.0,"['Investment Management', 'Cryptocurrency', 'regulation', 'Blockchain']"
First Principles of Computer Vision,Columbia University,Specialization,3 - 6 Months,4.6,3.4k,Beginner,https://www.coursera.org/specializations/firstprinciplesofcomputervision,41644.0,"['perception', 'features and boundaries', 'Object Recognition', 'Camera and imaging', '3d reconstruction']"
First Step Korean,Yonsei University,Course,1 - 3 Months,4.7,143,Beginner,https://www.coursera.org/learn/learn-korean,6364.0,"['Grammar', 'Korean Language', 'Speech', 'Writing']"
Fondamentaux de la cybersecurite,Google,Course,1 - 4 Weeks,4.9,48.5k,Beginner,https://www.coursera.org/learn/fondamentaux-de-la-cybersecurite,1443574.0,"['Cadre de cybersecurite (CSF) du NIST', 'Cybersecurite', 'Attaques historiques', ""Securite de l'information (InfoSec - Information Security)"", 'Deontologie']"
Food Beverage Management,Universita Bocconi,Course,1 - 3 Months,4.7,18,Mixed,https://www.coursera.org/learn/food-beverage-management,47565.0,"['Promotion And Marketing Communications', 'Food Marketing', 'Marketing', 'Brand Management']"
"Food Sustainability, Mindful Eating, and Healthy Cooking",Stanford University,Specialization,1 - 3 Months,4.8,4.3k,Beginner,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,137227.0,"['mindful eating', 'sensible shopping', 'sustainable eating', 'food mindfulness', 'Cooking']"
Forensic Accounting and Fraud Examination,West Virginia University,Course,1 - 3 Months,4.8,419,Mixed,https://www.coursera.org/learn/forensic-accounting,6402.0,"['Fraud Detection', 'Internal Control', 'Fraud Investigation', 'Forensic Accounting']"
Foundational Finance for Strategic Decision Making,University of Michigan,Specialization,3 - 6 Months,4.8,357,Beginner,https://www.coursera.org/specializations/foundational-finance,13365.0,"['Financial Analysis', 'Estimation of costs and benefits', 'Spreadsheet Analysis', 'Value estimation']"
Foundations of Business Intelligence,Google,Course,1 - 4 Weeks,4.8,356,Advanced,https://www.coursera.org/learn/foundations-of-business-intelligence,17984.0,"['Stakeholder Management', 'Sharing Insights With Stakeholders', 'Asking Effective Questions', 'Cross-Functional Team Dynamics', 'Business Processes and Requirements']"
Foundations of Business Strategy,University of Virginia,Course,1 - 4 Weeks,4.8,636,Beginner,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,53120.0,"['Capabilities Analysis', 'Business Strategy', 'Competitive Position', 'Strategic Analysis', 'Industry Structure']"
Foundations of Cybersecurity,Google,Course,1 - 4 Weeks,4.8,2.9k,Beginner,https://www.coursera.org/learn/foundations-of-cybersecurity,132355.0,"['Information Security (INFOSEC)', 'Cybersecurity', 'Historical Attacks', 'Ethics in cybersecurity', 'NIST Cybersecurity Framework (CSF)']"
Foundations of Data Science,Google,Course,1 - 3 Months,4.9,11k,Advanced,https://www.coursera.org/learn/foundations-of-data-science,364927.0,"['Sharing Insights With Stakeholders', 'Effective Written Communication', 'Asking Effective Questions', 'Cross-Functional Team Dynamics', 'Project Management']"
Foundations of Data Structures and Algorithms,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,1.2k,Advanced,https://www.coursera.org/specializations/boulder-data-structures-algorithms,75444.0,"['Travelling Salesman Problem (TSP)', 'Integer Programming', 'Approximation Algorithm', 'Linear Programming (LP)', 'Analysis of Algorithms', 'Hashtables', 'Algorithm Design', 'Python Programming', 'Data Structure Design', 'Graphs Algorithms', 'Intractability']"
Foundations of Digital Marketing and E-commerce,Google,Course,1 - 4 Weeks,4.6,363,Beginner,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,2930.0,"['Marketing', 'Customer loyalty', 'E-Commerce', 'Marketing Analytics', 'Customer Outreach']"
Foundations of Management,IESE Business School,Specialization,3 - 6 Months,4.8,15.2k,Beginner,https://www.coursera.org/specializations/foundations-management,645611.0,"['Accounting', 'Leadership', 'Finance', 'Marketing']"
Foundations of Positive Psychology,University of Pennsylvania,Specialization,3 - 6 Months,4.8,4.6k,Beginner,https://www.coursera.org/specializations/positivepsychology,31755.0,"['Gratitude', 'goal setting', 'Research Methodology', 'Resilience']"
Foundations of Project Management,Google,Course,1 - 4 Weeks,4.8,7.4k,Beginner,https://www.coursera.org/learn/project-management-foundations,63204.0,"['Organizational Culture', 'Career Development', 'Strategic Thinking', 'Change Management', 'Project Management']"
Foundations of Software Testing and Validation,University of Leeds,Course,1 - 4 Weeks,4.8,511,Beginner,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,15685.0,"['Software Testing', 'Software Development', 'Validation']"
Foundations of Teaching for Learning Introduction,Commonwealth Education Trust,Course,1 - 4 Weeks,4.7,56,Mixed,https://www.coursera.org/learn/teaching,3682.0,"['Teaching', 'Planning', 'Teaching Method']"
Foundations of User Experience (UX) Design,Google,Course,1 - 4 Weeks,4.6,742,Beginner,https://www.coursera.org/learn/foundations-user-experience-design,63452.0,"['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']"
"Foundations Data, Data, Everywhere",Google,Course,1 - 3 Months,4.8,59.9k,Beginner,https://www.coursera.org/learn/foundations-data,1077990.0,"['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL']"
Fractal Data Science,Fractal Analytics,Professional Certificate,3 - 6 Months,4.8,93.1k,Beginner,https://www.coursera.org/professional-certificates/fractal-data-science,2182786.0,"['Data storytelling', 'Machine Learning', 'Python Programming', 'Decision-Making', 'Problem Solving', 'power bi', 'SQL']"
From Data to Insights with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.8,6,Beginner,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,47565.0,"['Bigquery', 'Machine Learning', 'Data Visualization (DataViz)', 'SQL']"
